date,cv_debt,cv_gdp_growth,cv_unemployment,cv_spread,sd_debt,sd_gdp_growth,sd_unemployment,sd_spread,range_debt,range_unemployment,range_spread,year,quarter
2010-07-01,0.31047091657449444,2.3957209770931525,0.49653977177899694,1.2204641630448692,27.742301234356493,2.9014842944794843,5.020568803543191,252.39605713155572,85.60000000000001,15.7,796.9999999999999,2010,3
2010-10-01,0.3056456249762099,3.330522147163693,0.505376276548096,1.1492822612436733,27.946198310324792,3.478545353704301,5.227836816291972,285.2505802603894,88.9,15.899999999999999,847.6666666666666,2010,4
2011-01-01,0.31855368964578984,4.188417048270412,0.5252768313888233,1.154951955303975,29.85555969069152,3.955727212255388,5.538752366533259,307.0037678791179,98,16.3,878.0000000000001,2011,1
2011-04-01,0.32273503612460896,7.779691108906576,0.5491598646155172,1.2134194464237673,30.957461854041657,3.4576404928473665,5.876010551386034,426.277397430938,100.1,16.8,1204,2011,2
2011-07-01,0.332759938994532,287.1001567397701,0.56847100891242075,1.1730148606768633,32.80273531954987,3.19000174155299,6.240548408949685,538.4485770465521,105.5,17.4,1588.3333333333335,2011,3
2011-10-01,0.34664998522761303,4.5759274935290986,0.5878842634849736,1.3529198996700342,34.630333524238544,3.3048365231043495,6.819457456425694,808.3601195054033,113.89999999999999,18.5,2562.6666666666665,2011,4
2012-01-01,0.26845289118687776,2.013607487984997,0.5917551204147359,1.5757779268834984,26.356108294747244,2.930917565844829,7.291738094888245,1047.8759799768031,79.4,19.4,3298.6666666666665,2012,1
2012-04-01,0.2888212467052522,1.6565447850873212,0.6028369564997518,1.3028280658292342,29.41483941444824,2.650471656139714,7.63593478233019,746.6748909723975,92.1,20.200000000000003,2378.6666666666665,2012,2
2012-07-01,0.29873285160543284,1.4846258298492243,0.6091760711827523,1.3400899548559042,30.832549539587397,2.4908722256359206,7.871908564283788,681.0684581306742,94.6,20.5,2166,2012,3
2012-10-01,0.29595211323452464,1.1886792452830188,0.6157568935550438,1.2436876404691963,31.14731573952686,2.1,8.196408427543806,465.13411065990715,98.39999999999999,21.3,1466.6666666666667,2012,4
2013-01-01,0.2973817264871831,1.061226410901095,0.6126401000307026,1.1222173819303427,32.10070525358871,1.8748333259252676,8.379555145975498,311.2952046621968,101.2,22.2,976.3333333333334,2013,1
2013-04-01,0.3110129412961689,1.8444511378727277,0.6133300043821268,1.0827053142925995,34.18723364714443,1.5370426148939398,8.409435837861604,282.7508988393219,107.7,22.6,889,2013,2
2013-07-01,0.3129969466302245,7.782944092693968,0.6122899945208293,1.0721542339773393,34.2522991929009,1.3836345053678172,8.35435681412865,270.4834672419639,109.89999999999999,22.5,828.6666666666667,2013,3
2013-10-01,0.3223799600560906,2.632311862972288,0.6105384522256486,1.0471921986673218,35.19314563945656,1.4916433890176297,8.242269105046256,222.1179980145133,113.2,22.4,673.6666666666669,2013,4
2014-01-01,0.3268686565926021,1.4526551898477889,0.6008934892449094,1.0241438257256383,35.948288477261954,1.6786237749352226,7.978530218307408,180.64228110676856,114.70000000000002,21.9,569,2014,1
2014-04-01,0.3301246352477689,1.4485578300157027,0.5998655666666965,1.0129962879864218,36.36506259829312,1.9475055270211117,7.8182478855559445,144.54631625183436,116.1,21.8,468.33333333333337,2014,2
2014-07-01,0.33108407601350015,1.4471289920976518,0.5937311829482554,1.106725408216329,36.19484693218698,2.524436130659237,7.5931621285938,152.971585923661,114.9,21.1,488,2014,3
2014-10-01,0.3314268792852289,1.3770581431271376,0.5975839900211044,1.4109371154891004,36.04819690359006,2.738815640219529,7.5162786300432245,217.79486599340768,115.49999999999999,20.9,698.9999999999999,2014,4
2015-01-01,0.3173139703194144,1.3844637076532424,0.5927282201617083,1.8099679724042645,34.11125180933705,2.8919908559867733,7.349829930005184,303.6207866537988,105.3,20.8,960,2015,1
2015-04-01,0.32698654058282656,1.9699148216184712,0.5881317150373789,1.8233477230793258,34.7477697126017,8.317418135722434,7.122928548786033,338.7469425054492,107,20.3,1073,2015,2
2015-07-01,0.3412484983587978,2.195797139676041,0.5870656908872515,1.7336739752981154,36.03204977670728,10.442235286459397,6.940421056711506,313.54778046211084,110.4,20.1,999.6666666666666,2015,3
2015-10-01,0.36119732935558,2.1328896066197607,0.58217754821618,1.573186338288164,37.70498788106305,9.361015495720062,6.740322280458439,225.7365076809686,115.8,19.7,723,2015,4
